date,close
1997-07-01,37.8750
1997-07-02,39.5000
1997-07-03,38.7500
1997-07-07,39.8125
1997-07-08,40.0000
1997-07-09,39.8750
1997-07-10,40.1875
1997-07-11,41.2500
1997-07-14,41.1250
1997-07-15,41.6250
1997-07-16,41.2500
1997-07-17,40.1875
1997-07-18,39.9375
1997-07-21,39.9375
1997-07-22,40.5000
1997-07-23,41.9375
1997-07-24,42.2500
1997-07-25,42.2500
1997-07-28,41.8750
1997-07-29,41.8750
1997-07-30,42.1875
1997-07-31,42.1250
1997-08-01,41.1875
1997-08-04,41.1875
1997-08-05,42.0000
1997-08-06,42.1875
1997-08-07,42.5625
1997-08-08,41.7500
1997-08-11,41.6250
1997-08-12,41.6875
1997-08-13,42.1250
1997-08-14,42.7500
1997-08-15,42.6250
1997-08-18,42.6875
1997-08-19,43.0625
1997-08-20,43.0000
1997-08-21,42.5000
1997-08-22,42.1250
1997-08-25,42.0000
1997-08-26,42.0000
1997-08-27,41.8750
1997-08-28,41.1250
1997-08-29,38.3125
1997-09-02,39.0000
1997-09-03,39.0000
1997-09-04,38.8750
1997-09-05,38.4375
1997-09-08,38.6250
1997-09-09,38.8750
1997-09-10,38.1875
1997-09-11,37.5625
1997-09-12,37.1250
1997-09-15,37.1875
1997-09-16,37.5625
